Date;Price;Vol.;Change %
11/12/2021;203.85;15.79M;-1.29%
11/11/2021;206.51;16.65M;0.39%
11/10/2021;205.7;17.20M;-1.47%
11/9/2021;208.77;15.50M;-1.05%
11/8/2021;210.99;15.64M;0.32%
11/5/2021;210.31;30.14M;1.69%
11/4/2021;206.82;29.86M;3.86%
11/3/2021;199.13;21.89M;-1.09%
11/2/2021;201.32;34.93M;-1.77%
11/1/2021;204.94;58.00M;-5.34%
10/29/2021;216.51;23.63M;0.57%
10/28/2021;215.29;21.93M;-0.33%
10/27/2021;216;20.05M;-2.11%
10/26/2021;220.66;17.20M;0.14%
10/25/2021;220.36;24.82M;-2.08%
10/22/2021;225.03;22.61M;1.83%
10/21/2021;220.99;15.78M;0.48%
10/20/2021;219.94;17.17M;0.44%
10/19/2021;218.97;27.15M;1.70%
10/18/2021;215.32;52.23M;-8.11%
10/15/2021;234.32;30.22M;-2.37%
10/14/2021;240;24.06M;0.21%
10/13/2021;239.49;34.78M;4.43%
10/12/2021;229.34;20.34M;0.68%
10/11/2021;227.8;26.15M;-0.18%
10/8/2021;228.22;41.63M;4.02%
09/30/2021;219.39;33.19M;0.32%
09/29/2021;218.68;31.14M;0.80%
09/28/2021;216.94;41.15M;-1.65%
09/27/2021;220.57;76.01M;10.00%
09/24/2021;200.52;35.05M;3.14%
09/23/2021;194.42;18.81M;0.25%
09/22/2021;193.93;24.91M;-3.97%
09/17/2021;201.95;29.44M;2.51%
09/16/2021;197;33.54M;-0.76%
09/15/2021;198.5;38.20M;-3.51%
09/14/2021;205.73;23.60M;-0.99%
09/13/2021;207.79;26.34M;-2.77%
9/10/2021;213.7;31.88M;3.07%
9/9/2021;207.33;17.76M;-0.19%
9/8/2021;207.72;21.55M;-2.01%
9/7/2021;211.97;25.94M;0.24%
9/6/2021;211.46;44.07M;2.71%
9/3/2021;205.89;34.48M;2.32%
9/2/2021;201.23;37.46M;-3.12%
9/1/2021;207.71;50.36M;2.98%
08/31/2021;201.69;31.86M;-2.57%
08/30/2021;207;34.73M;0.64%
08/27/2021;205.68;27.19M;-0.72%
08/26/2021;207.17;33.23M;-4.75%
08/25/2021;217.5;38.18M;3.57%
08/24/2021;210;41.19M;1.92%
08/23/2021;206.04;41.84M;-0.16%
08/20/2021;206.38;53.40M;-7.31%
08/19/2021;222.65;28.97M;-2.77%
08/18/2021;229;21.26M;-0.41%
08/17/2021;229.95;21.87M;-4.47%
08/16/2021;240.7;13.32M;-0.04%
08/13/2021;240.8;16.00M;1.21%
8/12/2021;237.92;23.71M;-3.36%
8/11/2021;246.2;25.31M;-1.08%
8/10/2021;248.9;46.08M;8.21%
8/9/2021;230.01;26.49M;1.77%
8/6/2021;226;19.15M;-0.52%
8/5/2021;227.17;28.55M;-3.13%
8/4/2021;234.5;23.03M;-2.31%
8/3/2021;240.05;34.17M;2.39%
8/2/2021;234.45;46.84M;6.21%
07/30/2021;220.75;42.80M;-6.08%
07/29/2021;235.05;31.32M;-0.69%
07/28/2021;236.68;36.11M;2.39%
07/27/2021;231.15;42.33M;-7.37%
07/26/2021;249.54;46.21M;-7.99%
07/23/2021;271.21;21.23M;-3.17%
07/22/2021;280.1;14.31M;-0.40%
07/21/2021;281.22;14.96M;-0.38%
07/20/2021;282.3;13.01M;0.50%
07/19/2021;280.89;14.33M;1.21%
07/16/2021;277.52;15.15M;-1.18%
07/15/2021;280.83;19.55M;2.01%
07/14/2021;275.3;20.92M;-0.25%
07/13/2021;276;21.90M;1.86%
7/12/2021;270.95;26.42M;1.37%
7/9/2021;267.28;21.37M;-0.95%
7/8/2021;269.84;43.96M;-5.18%
7/7/2021;284.59;17.45M;2.65%
7/6/2021;277.25;23.90M;-1.37%
7/5/2021;281.1;18.05M;-1.72%
7/2/2021;286.03;21.17M;-4.08%
7/1/2021;298.2;13.63M;0.10%
06/30/2021;297.89;10.34M;-0.22%
06/29/2021;298.55;15.67M;-2.53%
06/28/2021;306.31;16.13M;2.13%
06/25/2021;299.92;20.52M;2.47%
06/24/2021;292.7;16.55M;0.60%
06/23/2021;290.94;23.06M;-2.98%
06/22/2021;299.89;16.17M;1.02%
06/21/2021;296.87;20.60M;2.02%
06/18/2021;291;19.07M;-1.09%
06/17/2021;294.22;10.90M;0.65%
06/16/2021;292.32;14.06M;-2.32%
06/15/2021;299.26;14.52M;-0.77%
6/11/2021;301.57;15.91M;-0.49%
6/10/2021;303.05;15.08M;2.21%
6/9/2021;296.5;17.16M;-0.49%
6/8/2021;297.95;31.17M;-4.78%
6/7/2021;312.91;18.74M;-0.76%
6/4/2021;315.3;17.53M;0.54%
6/3/2021;313.61;17.92M;0.57%
6/2/2021;311.84;15.65M;-1.22%
6/1/2021;315.7;16.39M;0.18%
05/31/2021;315.12;17.77M;-0.56%
05/28/2021;316.9;13.02M;-0.40%
05/27/2021;318.18;16.44M;-0.26%
05/26/2021;319;19.08M;-1.25%
05/25/2021;323.03;32.31M;5.91%
05/24/2021;305.01;15.71M;2.84%
05/21/2021;296.6;17.26M;-2.28%
05/20/2021;303.51;14.02M;0.24%
05/19/2021;302.79;16.70M;1.10%
05/18/2021;299.5;14.73M;0.78%
05/17/2021;297.19;28.06M;3.55%
05/14/2021;287;21.81M;3.99%
05/13/2021;276;9.71M;-0.54%
5/12/2021;277.51;12.11M;0.75%
5/11/2021;275.45;19.23M;4.34%
5/10/2021;264;19.52M;-2.98%
5/7/2021;272.1;12.50M;-1.57%
5/6/2021;276.44;16.87M;-3.00%
04/30/2021;285;15.80M;-1.55%
04/29/2021;289.5;20.69M;1.37%
04/28/2021;285.6;22.03M;1.34%
04/27/2021;281.82;14.23M;2.48%
04/26/2021;275;20.39M;-1.79%
04/23/2021;280;20.78M;3.25%
04/22/2021;271.19;11.63M;0.13%
04/21/2021;270.85;15.92M;1.16%
04/20/2021;267.75;19.91M;0.78%
04/19/2021;265.67;18.82M;1.48%
04/16/2021;261.8;18.75M;2.35%
04/15/2021;255.8;28.60M;-3.03%
04/14/2021;263.78;14.82M;0.33%
04/13/2021;262.9;13.88M;0.73%
4/12/2021;260.99;13.32M;-1.62%
4/9/2021;265.3;14.61M;-2.85%
4/8/2021;273.08;16.21M;0.82%
4/7/2021;270.85;24.49M;-4.88%
4/6/2021;284.76;15.55M;0.07%
4/2/2021;284.56;22.96M;4.20%
4/1/2021;273.08;12.11M;1.90%
03/31/2021;267.98;13.41M;-2.00%
03/30/2021;273.46;16.87M;0.50%
03/29/2021;272.09;28.20M;2.31%
03/26/2021;265.95;23.02M;3.89%
03/25/2021;255.98;18.63M;-1.85%
03/24/2021;260.8;17.94M;-0.55%
03/23/2021;262.25;12.70M;1.06%
03/22/2021;259.5;14.28M;-0.49%
03/19/2021;260.79;19.78M;-3.55%
03/18/2021;270.39;20.13M;2.30%
03/17/2021;264.31;19.89M;0.72%
03/16/2021;262.41;23.17M;4.54%
03/15/2021;251.01;24.90M;-5.08%
3/12/2021;264.45;25.14M;-0.22%
3/11/2021;265.04;30.15M;4.92%
3/10/2021;252.6;30.96M;4.16%
